배치번호,설비호기,교대조,소성온도,소성시간,입도,수분율,불순물,성형압력,방전용량,양품여부
B00991,E,night,813.0,120,11.67,1.23,516,21.9,166.0,0
B00895,E,day,896.7,135,,1.24,"1,207",22.1,177.3,1
B00830,C,day,841.5,135,11.4,1.0,"1,066",24.0,174.9,1
B00985,C,day,835.7,105,12.89,0.63,667,22.3,173.5,1
B00068,D,day,826.5,120,11.9,1.44,921,23.9,167.7,0
B01165,B,day,855.4,90,7.92,0.81,"1,301",24.5,174.8,1
B00620, E,day,837.5,105,14.96,0.75,980,27.7,169.6,1
B00019,D,day,821.8,150,5.71,0.79,"1,125",21.5,168.9,1
B00548,C,day,861.7,120,12.11,1.42,942,24.5,173.9,1
B00330,D ,day,811.1,150,11.42,1.5,"1,165",24.0,162.8,0
B00740,D,day,862.7,105,13.13,1.86,988,25.1,173.8,1
B00878,E ,night,814.9,120,10.79,1.14,916,26.9,167.4,0
B00617,D,day,853.1,105,14.36,0.93,"1,491",21.5,173.3,1
B00762,B,night,847.7,120,13.19,1.24,"1,155",26.3,171.1,1
B00601,B,day,865.3,120,8.7,1.19,630,27.2,177.9,1
B00418,B,night,831.8,105,9.19,0.76,664,27.4,167.6,0
B00963,A ,day,915.7,150,15.04,0.87,"1,161",22.6,175.9,1
B00395,B,day,876.7,135,11.45,-,"1,018",27.4,173.5,1
B01261,E,day,880.8,150,-,1.36,803,24.5,183.0,1
B00300,B,day,802.4,135,14.66,1.18,181,21.9,162.5,0
B00741, F,day,869.6,120,5.76,0.8,258,25.2,185.5,1
B01131,C,night,840.7,90,18.13,0.96,388,25.5,173.9,1
B00698,f,night,870.1,135,9.21,0.78,629,21.6,180.8,1
B00533,B,night,893.6,120,11.5,0.72,624,23.4,179.1,1
B00647,E,night,846.6,150,15.2,1.16,"1,098",23.6,177.0,1
B00092, F,day,856.6,90,12.56,0.76,539,27.3,177.1,1
B01075,E,day,827.3,90,9.42,1.26,"1,052",23.4,172.1,1
B00679, B,night,814.5,150,10.72,1.0,"1,004",23.7,164.6,0
B00195,b,night,838.5,105,11.03,1.1,"1,593",23.5,166.1,0
B00827,d,night,866.9,120,10.7,1.13,849,20.6,175.3,1
B01179,A,day,851.4,105,10.53,1.41,535,21.0,175.7,1
B00712,E,night,847.1,105,5.06,1.29,"1,414",21.7,171.2,1
B00851,B,night,895.3,105,13.05,0.96,839,21.7,177.6,1
B00381,C,night,846.4,90,16.09,1.49,444,21.9,173.2,1
B01029,f,night,850.2,105,5.09,0.99,"1,337",22.9,175.5,1
B01017,F ,night,831.4,105,13.74,1.58,332,21.9,169.0,1
B00626,C,day,879.1,150,11.22,1.76,237,24.0,181.0,1
B00202,A,night,888.9,105,10.71,1.23,"1,211",22.8,175.9,1
B01136, D,day,831.4,120,12.05,1.2,921,24.8,167.6,0
B00792,b,day,845.9,120,10.65,1.38,580,21.6,169.4,1
B00067,A,night,870.3,135,7.97,1.28,662,23.5,178.6,1
B01020,C,night,863.0,120,10.78,1.13,739,23.6,178.3,1
B01102,A,day,825.6,90,10.47,0.96,511,25.9,169.6,1
B00553,E,day,847.4,150,13.25,1.78,704,25.2,171.4,1
B00163,B,day,814.5,135,13.05,1.55,719,23.9,160.4,0
B00283,F,day,850.9,90,14.8,0.89,538,22.9,177.0,1
B00998,d,day,811.8,105,11.75,1.26,981,21.6,165.8,0
B00324,D,night,843.3,90,13.69,1.39,331,26.0,173.1,1
B00151,F,day,873.8,150,9.51,1.53,"1,005",28.9,179.2,1
B00197,E,day,887.4,105,10.52,0.95,"1,157",22.6,177.9,1
B00444,B,day,836.9,90,8.35,1.14,764,23.1,170.4,1
B00378,A,day,825.7,90,,0.76,988,23.8,167.2,0
B00862,C,day,908.4,120,14.61,0.92,954,28.3,175.6,1
B00159,A,day,848.0,150,12.84,1.68,585,23.1,174.6,1
B00807,C,day,885.9,105,7.41,1.18,"1,077",23.5,180.2,1
B00279, C,night,891.0,90,11.9,1.25,"1,212",21.9,172.0,1
B00787,E,night,816.2,150,10.99,0.92,"1,079",23.1,168.8,1
B00097,A ,night,838.7,105,10.68,1.42,763,23.8,174.0,1
B01120,B,day,842.0,120,11.82,0.66,601,22.0,177.1,1
B00294,F,night,824.1,90,10.31,1.4,843,24.2,169.4,1
B00209,A,night,869.8,90,8.57,1.45,"1,312",22.1,172.6,1
B00676,f,day,878.2,90,13.2,0.49,776,23.4,178.9,1
B01126,B ,night,881.8,120,16.64,0.66,278,23.8,179.2,1
B00037,A,day,802.7,120,13.53,0.78,"1,123",25.2,161.3,0
B00859,E,day,842.8,120,9.87,0.77,566,22.3,181.4,1
B01153,E,day,869.1,105,14.83,1.33,882,22.0,177.3,1
B01240, D,night,843.5,135,13.62,0.88,318,26.7,175.5,1
B01345,D,night,856.6,120,12.51,1.04,284,26.8,175.7,1
B01112,D,day,839.4,150,12.5,1.58,725,23.6,174.5,1
B00580,E ,day,845.2,135,10.87,1.25,615,24.2,176.5,1
B00110,B,night,876.4,120,14.63,1.14,858,23.7,176.3,1
B00084,B,night,803.9,90,7.63,1.24,"1,008",26.7,165.0,0
B00295,f,day,875.8,90,14.16,0.85,370,17.3,179.4,1
B01080,B,night,862.7,120,11.97,1.44,276,23.2,179.3,1
B01315,D,day,852.9,120,13.55,1.74,"1,168",27.7,169.3,1
B00287,A,day,882.4,105,9.85,2.12,"1,660",21.1,170.0,0
B00284,A,night,879.2,105,14.55,0.68,"1,027",25.6,175.2,1
B00639,F,day,905.9,135,11.67,1.51,489,23.8,178.5,1
B00397,A,day,819.1,135,10.57,1.29,879,25.5,168.3,1
B00415, E,day,874.2,120,11.13,0.28,822,22.6,182.8,1
B01013,C,day,806.0,120,15.63,0.6,629,26.8,162.1,0
B01076,c,night,786.9,150,17.62,1.29,"1,090",22.0,155.3,0
B00725,E,day,866.4,135,12.9,0.85,"1,206",23.3,181.0,1
B00754,E ,day,816.7,120,12.92,1.44,"1,196",22.5,166.2,0
B01333,F ,night,884.1,105,10.67,0.86,921,22.8,178.6,1
B00808,C,night,834.6,135,17.4,1.52,974,26.1,170.7,1
B00832, A,day,862.1,135,10.03,0.92,758,20.8,177.3,1
B01396,D,day,898.2,135,13.29,1.11,"1,414",25.5,177.7,1
B00838, A,day,866.3,135,11.58,1.38,783,21.8,173.1,1
B01046,A,day,825.3,105,11.9,0.74,479,27.4,168.1,1
B00780,D ,night,891.3,135,8.94,0.96,904,21.7,181.5,1
B00426,F,night,842.5,120,10.46,1.22,604,25.1,177.5,1
B00327,C,night,854.9,90,12.36,1.41,768,28.3,176.4,1
B00199,E,day,879.7,90,10.02,1.05,708,24.2,180.1,1
B00994,C,night,901.1,90,16.13,1.51,"1,133",24.7,172.5,1
B01367,A,night,845.7,105,11.15,0.59,836,24.5,169.5,1
B00628,F,day,827.9,150,13.36,1.01,317,23.6,176.6,1
B00898,d,night,875.8,120,-,-,"1,452",23.8,172.1,1
B00728,A,night,874.4,90,9.48,1.38,683,24.3,173.4,1
B00934,A,day,855.3,120,12.02,1.13,723,21.7,175.4,1
B01306, C,night,854.5,135,-,1.08,874,23.4,175.4,1
B00575,E,day,816.8,150,10.17,0.81,"1,083",22.4,168.2,1
B00659,F ,night,890.4,90,13.0,0.96,314,28.9,179.1,1
B00979,E,night,814.8,135,11.37,1.59,793,27.3,166.8,0
B00449,C,night,819.2,120,11.7,1.04,"1,163",20.4,167.4,0
B00346,C ,night,791.5,105,11.61,1.64,985,24.5,159.9,0
B00045,e,night,823.5,135,11.6,0.93,720,20.9,168.8,1
B01200,C,night,794.5,120,6.88,1.37,521,26.2,161.0,0
B00306,D,night,846.3,120,9.66,1.6,423,23.7,178.0,1
B00154,C,day,877.8,105,14.54,-,230,25.3,177.6,1
B00498,C,night,892.7,105,13.74,1.03,989,21.4,178.0,1
B01072,E,night,849.3,90,13.6,1.3,500,27.1,175.5,1
B00576,E,day,848.9,90,12.54,1.46,819,25.7,173.7,1
B00517,B,day,869.2,150,11.56,1.17,282,29.0,180.3,1
B00573, B,day,815.2,150,11.18,0.8,150,23.1,170.0,1
B00796,D,day,861.7,120,11.24,1.41,"1,245",27.6,170.4,1
B00680, B,night,838.5,105,11.13,1.52,"1,128",25.1,169.5,1
B01328,F,day,833.2,135,15.42,1.85,592,22.8,170.3,1
B01329,E,day,840.9,135,6.35,0.85,"1,088",25.9,179.3,1
B01061,b,day,858.0,90,17.06,1.25,850,26.3,173.5,1
B00402,F,night,798.5,105,15.68,1.82,717,27.5,160.2,0
B00193,B,night,871.0,105,10.92,1.07,"1,265",23.9,172.5,1
B00707, E,day,826.0,135,9.78,1.41,"1,044",19.9,176.4,1
B00484,b,day,877.1,150,13.23,1.53,"1,146",22.0,174.7,1
B00123,D,night,855.4,90,13.53,1.0,"1,183",22.1,172.3,1
B00237,F,day,870.2,135,8.25,1.44,341,26.1,183.2,1
B00406,D,night,842.7,150,5.99,1.53,"1,052",21.7,176.8,1
B00986,B,day,833.9,150,8.58,1.49,582,24.4,172.3,1
B00174,F,night,877.3,105,11.5,,792,26.2,174.6,1
B00006,B,day,879.4,120,13.48,1.44,"1,277",27.7,170.2,1
B00132,A,night,920.6,135,16.15,1.61,803,23.3,176.8,1
B00946,C,night,782.5,120,14.31,1.14,816,26.8,154.5,0
B00399,E,night,851.3,150,13.4,1.08,487,20.9,175.4,1
B00745,B,night,900.3,150,14.89,N/A,766,23.9,177.2,1
B00589,D,night,868.1,120,12.36,1.47,717,23.1,177.0,1
B01339,C,night,845.8,120,9.14,2.33,584,28.5,175.5,1
B00769,B,day,849.0,90,8.87,0.51,624,25.4,177.9,1
B00468,a,night,869.4,120,12.83,1.47,844,24.3,177.8,1
B00599, B,day,820.0,135,7.74,1.14,754,999.0,173.6,1
B00634,F,day,912.9,105,12.94,0.75,444,23.5,179.5,1
B01092,A,night,860.8,150,14.08,0.25,192,23.8,186.1,1
B00305,e,day,841.3,90,11.99,1.45,659,23.1,173.8,1
B00755,d,day,890.1,120,,1.45,"1,028",23.4,181.6,1
B00461,f,day,853.0,105,14.51,1.01,"1,079",24.4,173.7,1
B00892,d,day,873.6,90,17.0,1.35,49,25.2,179.9,1
B00008,c,day,882.3,90,13.52,1.61,"1,234",23.6,172.8,1
B00812,C,night,845.0,90,11.37,1.02,669,26.6,176.5,1
B00491,D,night,849.3,90,12.72,1.23,"1,142",23.7,168.7,1
B00235,A,day,775.5,150,11.79,1.12,906,20.9,147.8,0
B00930,A,night,902.3,90,12.69,1.59,717,21.6,175.5,1
B01168, C,day,887.0,120,8.42,0.87,"1,241",25.4,177.6,1
B01008,F,night,878.5,150,13.4,0.76,344,26.6,183.2,1
B00806,e,day,870.2,135,8.05,1.52,"1,039",23.9,174.3,1
B00981,F,night,863.6,150,14.1,0.94,447,24.4,179.2,1
B00765,a,day,858.7,105,13.38,0.65,"1,069",23.8,173.2,1
B00941, C,night,831.9,90,13.55,1.43,"1,439",24.5,165.9,0
B01117,C,day,826.8,120,12.08,0.94,978,22.7,172.6,1
B00635,F ,day,866.4,135,10.97,0.81,"1,169",24.5,176.2,1
B00435,C,day,863.0,120,12.78,1.82,509,23.3,177.5,1
B01214,F,night,872.0,90,11.29,1.43,906,25.1,176.3,1
B00890,A,day,879.2,135,10.38,0.72,406,24.2,179.7,1
B00936,E,day,865.6,120,8.53,1.41,808,22.4,178.0,1
B00760,c,night,798.2,105,13.13,1.28,497,23.3,158.7,0
B01235,E,day,850.9,105,14.98,0.95,549,21.4,175.8,1
B00660,C ,day,829.2,90,13.22,1.35,955,27.7,169.6,1
B01089,A,day,892.8,105,12.18,1.32,"1,006",22.5,175.1,1
B00655,A,day,852.3,135,14.22,1.68,925,21.4,177.6,1
B01217, C,day,818.7,150,N/A,0.82,925,18.6,171.1,1
B01052,C,day,837.9,150,12.52,1.5,633,24.6,174.0,1
B00456,C,day,852.3,135,9.83,1.09,"1,088",23.7,175.7,1
B00995,C,day,872.4,105,13.1,0.74,669,28.1,178.0,1
B01373,F,night,820.9,150,12.22,1.06,727,24.1,171.0,1
B01267,A,night,852.8,135,7.77,0.93,726,19.9,179.8,1
B00165,A,day,858.4,150,13.4,0.79,"1,196",27.2,173.5,1
B00360,f,night,879.2,150,13.36,1.48,791,24.7,179.0,1
B00424,d,night,842.9,135,11.52,1.73,721,25.1,179.0,1
B01055,A,day,907.7,105,12.65,0.41,"1,153",22.3,175.7,1
B01382,e,night,834.6,105,13.9,0.45,960,27.1,170.6,1
B00602,A,day,862.3,135,14.87,0.77,686,26.2,175.9,1
B00789,b,day,857.2,150,13.54,1.28,930,24.6,176.0,1
B00013,C,day,889.3,135,15.05,1.15,974,24.8,177.2,1
B01378,D,night,835.8,135,13.13,1.13,"1,038",21.1,172.7,1
B00047,D,day,854.1,135,10.89,1.64,"1,118",999.0,174.1,1
B00504,C,night,772.2,90,12.99,1.38,825,24.3,146.8,0
B01077,A,day,904.1,135,10.35,1.2,913,24.7,178.3,1
B00099,B,day,865.7,120,12.38,1.55,795,20.7,175.5,1
B01185,A ,night,864.2,90,10.67,1.3,591,24.7,174.7,1
B01228,f,night,814.8,90,9.69,N/A,923,19.3,168.0,1
B01201,E,day,873.0,150,10.71,1.17,946,24.6,182.9,1
B00440, F,day,868.4,105,14.48,1.22,39,21.9,180.7,1
B00121,B,night,907.6,150,14.19,1.64,601,23.5,176.6,1
B00349,E ,day,832.7,90,14.62,1.39,749,24.3,167.1,0
B00391,C,day,828.3,150,10.86,1.22,965,21.7,173.1,1
B01025,F,night,824.9,105,11.06,1.46,"1,557",23.6,168.0,0
B00227,A,day,885.5,90,8.63,1.64,667,23.7,173.6,1
B00152,b,day,836.2,135,14.08,0.73,881,22.6,172.8,1
B00386,D,night,860.3,135,10.23,0.96,"1,059",25.6,178.0,1
B00531,F,night,854.3,120,12.96,1.56,695,24.1,174.8,1
B00011,A,day,829.1,120,,1.17,819,26.6,166.6,0
B00542,F,night,833.2,105,12.47,1.57,"1,725",999.0,165.8,0
B00768,E,day,813.8,105,12.03,0.92,243,25.6,169.7,1
B00224,B,day,860.1,105,11.62,1.37,421,23.6,175.3,1
B01051,C,night,827.2,150,13.38,1.61,"1,376",26.3,170.3,1
B00894,D ,day,849.9,150,12.64,0.91,"1,540",18.6,172.0,0
B01101,F,day,878.3,120,12.5,,982,26.0,178.2,1
B01242,d,night,870.5,105,8.69,1.81,876,24.5,174.9,1
B01006,E,night,852.8,90,12.72,1.34,722,24.0,172.2,1
B00948,E,day,826.3,105,9.97,1.31,503,23.5,168.5,1
B00081,C,day,859.8,105,13.84,0.41,755,22.3,177.3,1
B00587,F,night,843.2,90,11.83,1.27,"1,009",26.5,172.8,1
B00877, F,night,876.5,90,13.97,2.04,802,21.9,175.3,1
B00664,B,day,832.3,135,12.91,1.65,114,24.8,174.2,1
B01057,b,day,841.1,105,15.3,0.18,"1,128",27.3,171.8,1
B00005, F,day,832.1,120,15.77,0.17,519,20.4,175.9,1
B01196,c,day,877.8,150,10.83,1.12,695,27.1,181.8,1
B01380,A,day,835.4,105,-,0.74,"1,170",28.6,168.8,1
B00218,D ,night,827.1,150,12.65,0.94,841,23.4,174.2,1
B00122,C,night,853.7,105,15.23,0.84,661,24.9,174.4,1
B00717,A,day,807.7,105,5.12,1.46,644,24.4,164.3,0
B00957,C,day,812.2,105,7.35,1.26,177,23.2,171.7,1
B00003,A,day,887.7,120,10.45,1.53,613,22.9,176.8,1
B00708,A,day,855.7,105,10.81,1.41,594,28.8,173.9,1
B00329,D ,night,812.8,135,7.08,0.71,603,23.8,169.9,1
B01205,E,day,856.8,150,12.05,0.9,"1,177",22.1,180.7,1
B00326,C,night,808.8,150,11.98,1.26,587,20.3,165.6,0
B00875,F,night,853.2,120,12.56,0.56,701,22.8,178.4,1
B00931,D,day,857.9,105,11.6,0.08,"1,279",21.7,177.5,1
B00684,a,night,829.6,120,13.0,1.03,"1,360",27.4,167.7,0
B01125,B,day,860.5,105,11.9,0.89,766,21.5,178.4,1
B01388,C ,day,854.9,135,N/A,0.76,459,23.5,183.7,1
B00049,B,day,855.1,105,17.64,0.82,873,25.3,174.3,1
B00245,E,night,844.6,90,13.83,,819,24.2,171.9,1
B00149,C,night,911.5,120,10.57,1.08,526,25.0,175.7,1
B00672,F,night,907.9,90,10.1,0.68,"1,178",22.9,173.5,1
B00954,B,day,893.9,120,12.6,0.82,"1,663",25.4,174.7,0
B00748,e,night,863.0,120,13.59,1.11,817,26.3,173.8,1
B00359,A,day,832.4,105,9.1,1.28,235,23.4,172.0,1
B00016,D,night,855.6,105,12.11,1.32,288,26.4,177.2,1
B00222,E,night,838.0,120,15.03,N/A,831,25.2,173.8,1
B00470,F,night,890.0,135,11.62,0.46,906,25.5,182.8,1
B00480,A,night,817.2,90,13.16,0.7,707,24.6,167.4,0
B00203,F,night,821.1,135,12.06,,833,23.6,171.8,1
B00153,A,day,820.9,150,13.34,0.98,675,22.4,165.9,0
B01322,D,night,830.9,135,14.03,1.21,691,25.8,168.4,1
B00179,C,night,871.5,105,11.19,1.15,"1,484",29.0,178.5,1
B00338,C,night,806.3,105,8.98,1.38,"1,043",23.9,163.1,0
B01079,D,day,852.1,105,12.0,1.43,"1,006",25.8,173.6,1
B00543,F,day,814.5,90,6.15,1.17,775,23.3,169.1,1
B00142,C,night,859.2,105,8.91,0.98,892,22.9,176.9,1
B00819,E,day,875.7,135,N/A,1.87,367,27.5,177.4,1
B00874,C,day,835.7,120,14.9,0.81,814,26.6,172.1,1
B00311,B,day,821.3,90,6.63,1.07,"1,357",21.5,166.3,0
B01134, B,day,856.4,90,17.69,1.25,344,23.2,169.9,1
B00278,F,day,810.6,135,9.77,1.14,691,27.8,167.6,0
B01366,B,day,787.7,90,13.9,0.91,845,23.8,153.2,0
B01293,D,day,895.1,90,15.41,1.57,889,27.2,172.7,1
B00250,a,day,820.7,90,11.85,1.17,660,22.4,167.1,0
B00368,B,day,835.5,120,12.71,1.87,685,25.2,166.1,0
B00910,B,day,830.7,90,,1.27,932,20.5,168.2,1
B01299,B ,day,833.9,150,12.55,1.16,757,22.4,174.7,1
B00852,D,night,822.2,90,10.43,0.88,"1,002",20.6,170.5,1
B00863,E,night,867.6,120,10.24,1.26,879,27.8,183.3,1
B00387,D,day,869.5,150,,1.17,"1,564",19.8,173.8,0
B01188,E,day,859.5,150,14.09,1.44,"1,038",26.6,178.7,1
B00170,B,night,857.4,90,11.75,-,799,19.8,172.0,1
B00677,c,night,850.5,150,11.94,1.44,521,999.0,177.9,1
B00508,A,day,844.2,135,9.22,1.62,"1,213",26.0,171.2,1
B00694,F,day,822.9,105,7.38,1.57,476,26.0,173.4,1
B00390,b,day,866.5,135,5.63,1.24,672,27.8,180.3,1
B00823,F,night,872.1,90,13.98,1.49,735,26.0,177.4,1
B00860,D,night,828.3,105,9.81,0.94,600,26.8,167.8,0
B00069,E,night,864.3,90,8.16,1.26,618,24.1,181.4,1
B00766,E,day,850.5,90,13.85,1.33,311,20.6,171.1,1
B00585,A,night,831.5,135,10.11,1.08,946,21.6,170.3,1
B00187,D ,night,878.3,90,14.15,1.65,854,24.7,176.6,1
B00052,c,day,824.8,105,12.27,1.19,936,25.3,169.4,1
B01103,C,night,840.7,150,12.26,1.2,884,24.5,174.8,1
B01305,A,night,811.2,150,8.85,0.99,"1,032",26.5,167.0,0
B00857, D,night,854.8,90,14.02,1.73,665,23.0,174.3,1
B01074,F,day,803.7,120,12.18,1.46,671,24.8,163.9,0
B00403,C,day,889.4,90,11.92,1.29,562,26.9,177.6,1
B01213,C,night,905.1,135,14.1,1.39,800,23.2,177.5,1
B00801,F,night,830.6,90,12.71,1.57,744,25.3,166.4,0
B00698,f,night,870.1,135,9.21,0.78,629,21.6,180.8,1
B01375,D,night,889.9,150,7.17,1.22,840,23.3,180.3,1
B00015,C,day,830.1,150,14.22,1.26,800,21.4,168.4,1
B00919,B,night,853.8,90,-,1.16,929,29.4,171.6,1
B00856,D,night,873.7,150,12.0,1.06,576,21.7,179.5,1
B00050,C,day,808.0,150,13.56,1.27,599,24.9,165.8,0
B01087,C,day,881.6,105,13.35,1.31,884,25.3,179.9,1
B00298,D,night,817.6,150,12.27,0.86,"1,009",24.2,169.1,1
B01236,B,day,856.3,120,11.89,1.55,452,23.4,178.7,1
B00904,D ,day,847.2,105,13.28,1.11,956,26.2,170.4,1
B00804,B,day,829.7,105,10.96,1.09,493,28.7,171.9,1
B01292,E,day,929.2,150,13.88,1.6,330,23.0,177.3,1
B00130, C,night,837.4,120,N/A,1.88,"1,492",24.5,165.6,0
B00405,A,night,847.2,105,12.02,0.87,708,22.6,174.5,1
B00798,B,day,804.5,90,11.4,1.18,408,24.6,163.2,0
B00613, E,day,863.9,150,12.17,1.05,706,23.6,181.6,1
B00638,a,night,778.3,120,8.87,1.03,722,999.0,152.3,0
B00565,A,day,847.1,105,13.14,1.17,681,25.0,176.1,1
B00847,E,day,883.7,90,13.19,1.04,668,23.0,179.4,1
B00297,E,night,816.3,135,8.67,0.6,658,21.7,172.9,1
B01327,C,day,815.0,105,8.37,1.12,"1,158",22.5,161.4,0
B00427,A,night,828.0,105,12.67,1.1,768,22.9,172.5,1
B00288,F ,night,857.0,150,11.64,2.09,258,22.5,178.0,1
B00627,b,night,832.6,105,13.79,1.02,890,22.6,167.2,0
B00133, F,night,864.3,105,12.03,0.78,"1,043",24.4,178.0,1
B00557,E,day,865.4,150,9.91,0.59,"1,145",25.3,180.5,1
B01308,D,day,869.9,135,7.3,1.07,145,26.7,186.0,1
B00866,B,night,847.4,105,14.75,1.01,"1,455",26.7,168.3,1
B01066,B,day,894.1,105,14.72,1.87,874,22.3,170.0,1
B01291,B,night,871.3,135,-,1.09,"1,107",24.0,174.6,1
B00561,D,night,858.1,105,13.62,0.59,113,20.9,178.7,1
B01086, C,night,859.9,105,N/A,0.54,560,23.4,179.7,1
B00462, F,day,786.3,90,19.25,1.24,"1,108",20.8,151.6,0
B00990,d,day,868.0,105,11.11,1.65,769,24.4,182.0,1
B00073,B,day,813.1,90,11.15,1.01,760,21.5,165.5,0
B00706,E,day,838.1,90,13.03,0.89,"1,219",22.9,170.9,1
B00688,F ,night,819.7,150,13.53,1.59,"1,068",24.8,165.8,0
B00950,B,day,830.9,105,10.75,1.44,393,25.4,174.5,1
B00938,F ,night,884.2,90,17.45,0.71,592,21.1,175.4,1
B01198, B,day,871.0,135,14.42,0.78,506,28.5,175.5,1
B00178, E,day,873.0,150,12.97,1.29,"1,095",27.4,175.7,1
B00870,E,day,850.0,135,10.61,1.58,166,20.2,180.5,1
B00043,F,day,845.0,105,12.88,1.26,"1,059",31.4,169.3,1
B00727,B,night,864.9,150,14.13,1.54,"1,368",24.9,173.2,1
B01113,A,day,924.5,105,16.3,1.77,"1,069",24.3,172.3,1
B00251,A,day,862.3,120,12.08,1.58,736,26.9,180.2,1
B00310,F,night,904.0,120,11.22,0.77,"1,329",21.1,177.2,1
B00667,D ,night,826.8,150,10.05,1.46,535,28.0,171.5,1
B00661,D,day,853.0,135,13.56,1.2,"1,030",22.8,175.3,1
B00367,b,day,836.7,150,13.67,1.87,831,25.0,171.8,1
B00307,E,day,879.9,90,12.03,1.81,894,23.6,177.9,1
B00813,C,night,842.4,150,13.25,1.66,810,24.5,173.3,1
B00593,E ,day,834.4,150,-,1.34,613,22.1,178.6,1
B00289,F,day,881.2,120,11.31,1.42,232,22.8,180.1,1
B01342,F,night,852.1,135,13.06,0.78,558,28.0,176.2,1
B00608,E,night,900.9,150,9.72,0.73,482,24.3,188.0,1
B00320,B,night,859.3,150,12.78,0.54,700,23.4,177.1,1
B01098,E,night,844.0,105,16.01,1.37,964,25.5,175.2,1
B00670,B,day,851.0,105,17.44,1.6,731,20.8,171.5,1
B00438, E,day,848.7,150,-,1.13,813,27.4,176.1,1
B00848,b,night,839.4,150,14.03,1.0,2,21.8,175.4,1
B00701,D,day,888.7,120,15.12,0.77,513,26.3,180.9,1
B00933, C,day,899.3,150,11.13,1.81,931,25.7,179.0,1
B00280, B,day,875.6,135,10.66,1.3,"1,309",26.2,175.5,1
B00843,f,day,831.2,135,13.09,1.23,"1,289",19.7,171.0,1
B00696,B ,day,850.0,105,15.52,0.85,"1,170",24.3,167.5,0
B00445,A,night,840.0,90,13.92,1.71,820,28.7,170.2,1
B00514,E,night,876.4,135,8.3,1.32,792,23.2,180.0,1
B01209,c,day,805.1,90,11.12,1.57,839,24.1,160.1,0
B00239,A,night,806.0,120,10.15,1.06,763,25.9,162.4,0
B00231,b,day,797.5,120,14.28,0.88,831,24.7,161.0,0
B00907,F,day,839.1,135,13.12,0.87,659,22.6,174.8,1
B01012,E,night,837.4,135,8.57,1.48,"1,389",24.4,173.7,1
B00312,D,night,829.4,90,8.46,0.9,570,27.9,174.7,1
B00912, A,night,822.6,120,-,,"1,267",999.0,168.6,1
B01321,E,day,851.3,150,11.28,0.97,775,26.6,180.0,1
B01317,E,day,850.4,150,12.46,1.14,229,25.9,179.5,1
B00106,F,day,792.6,120,14.33,1.21,576,21.2,160.9,0
B01078,D,day,803.1,90,12.95,0.91,"1,127",23.3,164.9,0
B00893,F,day,820.2,90,11.85,0.98,838,22.3,166.9,0
B00886, B,day,849.5,120,10.75,0.41,"1,303",25.7,173.3,1
B00952,D,night,893.6,135,9.13,,881,22.6,178.2,1
B01192,B,day,881.8,135,16.21,1.24,984,22.4,173.0,1
B00772,A,day,815.7,120,10.21,1.11,974,21.0,164.3,0
B00926,D,night,855.9,120,9.3,0.88,"1,453",26.0,177.6,1
B00669,C,day,823.0,105,-,1.14,998,999.0,164.9,0
B00229,F,night,829.5,105,15.06,0.42,732,22.8,177.1,1
B00333,E,night,852.9,90,12.85,1.38,813,25.1,174.3,1
B00980,A,night,860.7,90,9.86,1.22,"1,473",25.4,173.3,1
B01183,B,night,864.1,135,13.83,0.99,922,23.7,176.7,1
B00788,B,day,899.2,105,12.75,1.03,"1,191",22.4,173.3,1
B00902, E,night,894.5,150,13.39,1.11,"1,248",20.9,178.9,1
B01002,E,day,859.5,90,14.22,1.41,694,26.1,176.3,1
B00350,C,night,919.2,135,9.19,1.27,458,25.3,180.0,1
B00493,B,day,904.4,105,11.09,0.7,789,21.9,176.6,1
B01226,b,night,871.6,120,13.12,0.9,990,21.5,179.3,1
B00144,A,day,891.8,150,11.74,1.15,913,23.7,177.9,1
B01356,E,night,851.4,150,9.65,0.62,"1,119",25.4,182.6,1
B01107,B,night,847.8,105,14.11,1.27,783,25.2,168.2,1
B00568,D,day,891.4,135,7.87,1.08,811,24.9,181.8,1
B00591,C,night,868.4,120,9.41,1.62,879,26.7,180.2,1
B01359, E,night,847.7,105,9.14,1.87,694,23.5,178.0,1
B01189,F,day,843.3,135,12.3,1.27,348,26.3,174.3,1
B00552,D,day,866.9,120,11.68,1.43,"1,033",21.1,176.6,1
B00414, E,night,893.1,90,13.49,1.02,636,27.0,177.4,1
B00488,A ,day,864.6,135,11.67,0.78,699,23.2,176.4,1
B00173,A,day,818.1,135,13.14,0.95,611,22.8,168.5,1
B01099,B,day,800.0,150,14.64,0.92,"1,063",25.8,160.9,0
B00753,A,day,854.8,150,13.53,1.31,552,22.6,179.1,1
B00968,D,night,805.8,150,15.87,1.71,950,22.7,164.6,0
B00618,F,night,829.9,90,11.08,0.95,"1,100",26.4,169.9,1
B00554,F,day,833.8,105,12.36,1.39,559,26.2,174.7,1
B00485,E,night,851.3,135,10.93,1.56,494,27.1,180.4,1
B01379,A,night,812.6,150,11.99,1.23,"1,110",25.3,164.4,0
B00472, A,night,868.6,135,11.29,1.02,590,21.7,178.6,1
B00880,F,night,831.4,90,12.43,1.36,599,22.8,174.3,1
B00962,F,day,866.4,90,16.41,1.06,249,18.9,177.9,1
B00654,A,night,824.5,90,16.27,0.87,620,25.7,168.3,1
